StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q9,Q13_1,Q14,Q14_4_TEXT,Q15,Q16_1,Q17,Q19_1,Q19_2,Q19_3,Q21_1,Q21_2,Q21_3,Q32_1,Q32_2,Q32_3,Q33_1,Q33_2,Q33_3,Q27
2018-06-08 19:26:22,2018-06-08 19:29:03,IP Address,*******,100,160,True,2018-06-08 19:29:04,R_vB4O6kW4lg8qpcB,*******,*******,*******,*******,*******,*******,anonymous,EN,,60,Male,,Senior Academic,33,cognitive science,Somewhat Poorly,Somewhat Well,Moderately,Moderately,Somewhat Well,Moderately,Low Caution,High Caution,Moderate Caution,Extremely Low Caution,High Caution,Moderate Caution,Time of semester is unlikely to have an effect. Online introduces more variance but also offers opportunity for generalizability and overcoming low-power problems with small N.
2018-06-08 21:43:02,2018-06-08 21:50:02,IP Address,*******,100,420,True,2018-06-08 21:50:02,R_2Xj5TWTq9kiDvfC,*******,*******,*******,*******,*******,*******,anonymous,EN,,29,Male,,Early Career Academic,2,semantic priming; word recognition; mental lexicon,Well,Well,Moderately,Somewhat Well,Somewhat Well,Moderately,Somewhat High Caution,Moderate Caution,Somewhat Low Caution,Moderate Caution,Moderate Caution,Somewhat Low Caution,
2018-06-08 21:46:19,2018-06-08 21:50:05,IP Address,*******,100,226,True,2018-06-08 21:50:06,R_sCrAyJQ9sSTt409,*******,*******,*******,*******,*******,*******,anonymous,EN,,34,Male,,Mid Career Academic,9,cognitive psychology,Well,Somewhat Well,Somewhat Well,Moderately,Somewhat Well,Somewhat Well,Somewhat High Caution,Somewhat High Caution,Somewhat High Caution,Somewhat Low Caution,Somewhat High Caution,Somewhat High Caution,Yes. More effortful and engaged students at the beginning of semester.
2018-06-08 21:49:11,2018-06-08 22:03:24,IP Address,*******,100,852,True,2018-06-08 22:03:24,R_1GCzPe4hYVEbcmy,*******,*******,*******,*******,*******,*******,anonymous,EN,,26,Male,,Graduate Student,,Numerical Cognition,Well,Well,Somewhat Well,Moderately,Well,Somewhat Well,Somewhat High Caution,High Caution,Moderate Caution,Somewhat Low Caution,High Caution,Moderate Caution,"Yes. During the final two weeks of the semester, in-lab participants are less cautious and less accurate on speeded tasks that have previously reported very high accuracy (90%). On non-speeded tasks, participant RT remains stable, while accuracy decreased. 
Online studies have reported differences, with fewer participants completing the study once testing has commenced online than in-lab, and accuracy tending to be lower online than in-lab. We have not noted a difference in response times between our online and in-lab studies, yet! "
2018-06-08 22:12:08,2018-06-08 22:15:07,IP Address,*******,100,178,True,2018-06-08 22:15:07,R_RxLrk4vsrD9flgR,*******,*******,*******,*******,*******,*******,anonymous,EN,,42,Female,,Mid Career Academic,14,Cog psych,Well,Well,Somewhat Well,Moderately,Well,Somewhat Well,Moderate Caution,Moderate Caution,Moderate Caution,Somewhat Low Caution,Moderate Caution,Moderate Caution,Yes
2018-06-08 22:18:19,2018-06-08 22:21:24,IP Address,*******,100,184,True,2018-06-08 22:21:24,R_43pIm8wtdvGzPpv,*******,*******,*******,*******,*******,*******,anonymous,EN,,51,Male,,Mid Career Academic,16,object recognititon attention,Moderately,Well,Moderately,Extremely Poorly,Well,Moderately,Moderate Caution,High Caution,Moderate Caution,Extremely Low Caution,High Caution,Moderate Caution,"For subject pool: YES. For the other participants, there is no noticeable changes in performance relative to the moment in the semester."
2018-06-08 22:50:07,2018-06-08 22:55:08,IP Address,*******,100,301,True,2018-06-08 22:55:08,R_1cXR9EgXebUlDMU,*******,*******,*******,*******,*******,*******,anonymous,EN,,28,Male,,Graduate Student,,"memory, analogy",Moderately,Moderately,Somewhat Poorly,Somewhat Poorly,Moderately,Somewhat Poorly,High Caution,Moderate Caution,Low Caution,Low Caution,Moderate Caution,Low Caution,"Yes - selection bias - students who sign up for experiments early in the semester likely differ from those who wait for the last moment in their conscientiousness, attention, desire to please the experimenters, etc. Online participants can be less interested in the experiment itself or in the abstract value of contributing to science and can be less conscientious as a result."
2018-06-08 22:50:44,2018-06-08 22:58:31,IP Address,*******,100,467,True,2018-06-08 22:58:32,R_3CHO5X85HgX9Afa,*******,*******,*******,*******,*******,*******,anonymous,EN,,32,Female,,Early Career Academic,1,Memory modeling,Somewhat Well,Moderately,Somewhat Poorly,Moderately,Moderately,Somewhat Poorly,Somewhat High Caution,Somewhat Low Caution,Low Caution,Somewhat Low Caution,Somewhat Low Caution,Low Caution,"Yes, I think that participants recruited via MTurk are less reliable as we cannot control what they do at the same time (e.g., be on the phone, listen to music). Regarding undergraduate students, I think that only those sign up for studies in the first few weeks that have enough time and are motivated enough. In the last few weeks, they only sign up if they still need credit."
2018-06-08 22:54:33,2018-06-08 23:01:32,IP Address,*******,100,418,True,2018-06-08 23:01:32,R_tKyEi03JwkiwAQp,*******,*******,*******,*******,*******,*******,anonymous,EN,,47,Male,,Mid Career Academic,16,"wellness, learning",Somewhat Well,Somewhat Well,Well,Somewhat Well,Somewhat Well,Well,Somewhat Low Caution,Moderate Caution,Moderate Caution,Low Caution,Moderate Caution,Moderate Caution,"Somewhat. 
When I did more active recruitment I tended to see some shifts in variance on parameters, not so much shifts in mean performance. Average issue undergraduates do, in my opinion, tend to go more quickly then people from the broader community but don't, in my work, show very different learning. I have done less work with online recruitment but have been positively surprised by the data quality in the studies I have done."
2018-06-09 00:16:54,2018-06-09 00:31:58,IP Address,*******,100,903,True,2018-06-09 00:31:58,R_1pyREKua29hlmMZ,*******,*******,*******,*******,*******,*******,anonymous,EN,,38,Male,,Early Career Academic,3,memory,Somewhat Well,Well,Somewhat Well,Somewhat Poorly,Well,Somewhat Well,High Caution,High Caution,Somewhat High Caution,Moderate Caution,High Caution,Somewhat High Caution,
2018-06-09 00:41:32,2018-06-09 00:45:01,IP Address,*******,100,209,True,2018-06-09 00:45:02,R_2wHwxl2tZibXebd,*******,*******,*******,*******,*******,*******,anonymous,EN,,31,Female,,Graduate Student,,decision neuroscience,Somewhat Well,Well,Extremely Well,Well,Somewhat Well,Extremely Well,Moderate Caution,Moderate Caution,Moderate Caution,Moderate Caution,Moderate Caution,Moderate Caution,"It should not. Try to minimize deception.
If anything, participants are most suspicious with moderate experience. They have been fooled a couple of times and want to find the experimenters trick. When very experienced they do not care anymore."
2018-06-09 00:37:55,2018-06-09 00:45:38,IP Address,*******,100,463,True,2018-06-09 00:45:39,R_e4hImhaL2xhqoN3,*******,*******,*******,*******,*******,*******,anonymous,EN,,28,Male,,Early Career Academic,1,decision modeling,Well,Somewhat Well,Moderately,Somewhat Poorly,Somewhat Well,Moderately,Moderate Caution,Somewhat High Caution,Low Caution,Extremely Low Caution,Somewhat High Caution,Low Caution,"Yes. Participants recruited later in the semester frequently appear to be ones who have put off running experiments until the last minute, and/or who are less interested in running experiments relative to getting their course credit. They also tend to have more coursework responsibilities later in the semester, so their time is at a premium."
2018-06-09 00:55:26,2018-06-09 00:58:42,IP Address,*******,100,196,True,2018-06-09 00:58:42,R_2YVOa8Y7vGpgtf0,*******,*******,*******,*******,*******,*******,anonymous,EN,,26,Male,,Early Career Academic,1,behavioural economics,Well,Well,Moderately,Somewhat Poorly,Well,Moderately,Moderate Caution,High Caution,Somewhat Low Caution,Extremely Low Caution,High Caution,Somewhat Low Caution,Have found that undergraduates who sign up to studies early in the semester tend to be more motivated students
2018-06-09 00:56:15,2018-06-09 01:01:37,IP Address,*******,100,321,True,2018-06-09 01:01:38,R_1f1p1Aex5wApbVd,*******,*******,*******,*******,*******,*******,anonymous,EN,,,Prefer not to say,,Senior Academic,17,Reasoning,Somewhat Well,Somewhat Well,Well,Extremely Poorly,Somewhat Well,Well,Moderate Caution,Moderate Caution,Somewhat High Caution,Extremely Low Caution,Moderate Caution,Somewhat High Caution,"Quality of student ps certainly does in my experience. The motivated students take part early. Towards the end of the term students just go through the motions. "
2018-06-09 01:09:41,2018-06-09 01:16:16,IP Address,*******,100,395,True,2018-06-09 01:16:16,R_1ieaO235IJh2edy,*******,*******,*******,*******,*******,*******,anonymous,EN,,36,Male,,Early Career Academic,8,Interdisciplinary political psychology,Well,Somewhat Well,Well,Poorly,Somewhat Well,Somewhat Well,Somewhat High Caution,Moderate Caution,Somewhat High Caution,Somewhat Low Caution,Moderate Caution,Somewhat High Caution,"Yes, definitely. Generally, my personal observation has been that students at the end of the semester skip their scheduled experiment appointments much more frequently than students earlier in the semester. Students at the end of the semester also seem much more agitated and as if they are unhappy or ""forced"" to come do experiments; my impression is that this mindset leads them to be more careless about the experiment instructions and task, leading to very poor quality. For this reason I always stop collecting data using undergraduates (even paid ones) before the last 3 weeks of classes. It would be a waste of time and money. "
2018-06-09 02:16:52,2018-06-09 02:19:07,IP Address,*******,100,134,True,2018-06-09 02:19:07,R_337MyHo39tfpV6H,*******,*******,*******,*******,*******,*******,anonymous,EN,,30,Male,,Graduate Student,,decision making,Well,Well,Somewhat Poorly,Somewhat Poorly,Well,Somewhat Poorly,Low Caution,Somewhat Low Caution,Extremely Low Caution,Somewhat High Caution,Somewhat Low Caution,Extremely Low Caution,"yes, student motivation changes over the course of the term. Also, different type of people participate at different times (more conscientious individuals might participate sooner)"
2018-06-09 06:07:49,2018-06-09 06:16:03,IP Address,*******,100,493,True,2018-06-09 06:16:03,R_24Mo09BXjGjmz9d,*******,*******,*******,*******,*******,*******,anonymous,EN,,53,Male,,Senior Academic,24,Judgment and Decision Making,Somewhat Well,Moderately,Somewhat Poorly,Moderately,Somewhat Well,Somewhat Poorly,Somewhat Low Caution,Somewhat High Caution,Low Caution,Low Caution,Somewhat High Caution,Low Caution,"Yes. I believe that for student samples--where the students are meeting a subject pool requirement--the quality declines somewhat at the very end of the semester. I do not have a good sense of how strong an effect this is, though."
2018-06-09 06:11:00,2018-06-09 06:22:57,IP Address,*******,100,716,True,2018-06-09 06:22:57,R_1kRg6gcqzQOmQiF,*******,*******,*******,*******,*******,*******,anonymous,EN,,31,Male,,Early Career Academic,,"explore-exploit dilemma, decision making under risk/uncertainty, measurement, psychometrics",Somewhat Poorly,Somewhat Poorly,Somewhat Well,Somewhat Poorly,Somewhat Poorly,Somewhat Well,Low Caution,Somewhat Low Caution,Somewhat Low Caution,Low Caution,Somewhat Low Caution,Somewhat Low Caution,"I think the interactions are complex, but that selection bias plays a major role across recruitment methods and time of semester.
Time of semester may be a factor but only for students, and in particular only for students that are about to get a low note... of course, if selection goes on a voluntarily basis, selection bias may be strong because only students in need (highly motivated, though) will be willing to participate.
Something similar (I think) happens in online pools, although I've never actually participated in such an study: if the main selection criteria is willingness to participate, then no matter how well the measurement task are designed, the sample of participants will not reflect the general population."
2018-06-09 06:22:37,2018-06-09 06:26:51,IP Address,*******,100,254,True,2018-06-09 06:26:51,R_1eY36LmbNpfl3JH,*******,*******,*******,*******,*******,*******,anonymous,EN,,29,Female,,Early Career Academic,0,"Health, JDM, education ",Somewhat Poorly,Moderately,Extremely Well,Somewhat Poorly,Moderately,Extremely Well,Somewhat Low Caution,Moderate Caution,High Caution,Somewhat High Caution,Moderate Caution,High Caution,"Absolutely, especially if they are in intro to psych classes. Why are we doing that? They take the class, learn what we are testing, then we test them? Studies have shown MTurk participants are excellent, and community members fantastic as well. Students also fall prey to exams and other factors that are Time specific. 1st year vs. 4th year, etc. Was there a homecoming game last night. You just have all these counfounding factors."
2018-06-09 06:33:50,2018-06-09 06:36:16,IP Address,*******,100,146,True,2018-06-09 06:36:16,R_2pJBJDjXlVFjrj4,*******,*******,*******,*******,*******,*******,anonymous,EN,,32,Female,,Early Career Academic,2,intertemporal decision making,Somewhat Well,Well,Somewhat Well,Somewhat Well,Well,Somewhat Well,Somewhat High Caution,High Caution,Somewhat High Caution,Somewhat Low Caution,High Caution,Somewhat High Caution,
2018-06-09 13:48:05,2018-06-09 13:52:14,IP Address,*******,100,249,True,2018-06-09 13:52:14,R_1Cg8zvKZJ76HqAu,*******,*******,*******,*******,*******,*******,anonymous,EN,,,Male,,Senior Academic,27,"Reasoning, Categorization, Memory, High-level cognition, Cognitive Development",Somewhat Well,Somewhat Well,Somewhat Well,Moderately,Somewhat Well,Somewhat Well,Somewhat High Caution,Somewhat High Caution,Somewhat High Caution,Moderate Caution,Somewhat High Caution,Somewhat High Caution,Yes. Our Department rewards those undergraduates who complete all of their experimental participation requirement in the first half of semester with bonus points. These students are typically better organised and more motivated than those who participate late - and their data is typically less noisy
2018-06-09 13:55:50,2018-06-09 14:11:15,IP Address,*******,100,925,True,2018-06-09 14:11:16,R_9FBRWFaYNQugOel,*******,*******,*******,*******,*******,*******,anonymous,EN,,32,Male,,Early Career Academic,6,"Attention, learning, perception",Somewhat Well,Somewhat Well,Moderately,Poorly,Moderately,Moderately,Low Caution,Somewhat High Caution,Low Caution,Extremely Low Caution,Moderate Caution,Extremely Low Caution,"For undergrads, I believe that motivation and fatigue are key factors to data quality. At the end of semester, I find that students are more likely to stack together experimental sessions and so they're more likely to be fatigued to complete your experiment. "
2018-06-09 15:42:02,2018-06-09 15:48:21,IP Address,*******,100,379,True,2018-06-09 15:48:22,R_9NB465sEFFBhhxT,*******,*******,*******,*******,*******,*******,anonymous,EN,,33,Female,,Early Career Academic,7,attention & perception,Well,Well,Well,Poorly,Well,Well,Somewhat Low Caution,Somewhat High Caution,Somewhat Low Caution,Low Caution,Somewhat High Caution,Moderate Caution,"Yes I do - I published a paper on this topic, showing participants perform differently on selective attention based on reimbursement and time of semester "
2018-06-09 14:51:21,2018-06-09 18:15:57,IP Address,*******,100,12275,True,2018-06-09 18:15:57,R_1k08gXU0VHwnnSi,*******,*******,*******,*******,*******,*******,anonymous,EN,,34,Male,,Graduate Student,,collective intelligence and collective metacognition,Moderately,Moderately,Somewhat Poorly,Poorly,Moderately,Somewhat Poorly,Moderate Caution,Moderate Caution,Low Caution,Low Caution,Moderate Caution,Low Caution,
2018-06-10 23:43:37,2018-06-11 00:12:28,IP Address,*******,100,1731,True,2018-06-11 00:12:28,R_3KAU9i3ltwCScpC,*******,*******,*******,*******,*******,*******,anonymous,EN,,27,Male,,Early Career Academic,2,Response time modelling,Well,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Moderate Caution,Somewhat Low Caution,Somewhat Low Caution,Somewhat Low Caution,Somewhat Low Caution,Somewhat Low Caution,"To me, it definitely seems *possible* that the quality of participants varies throughout the semester. Anecdotally, it does often seem to be the case that the more academically committed students complete their credit points earlier in the semester, but I'm not sure if this would empirically hold. I think assessing data at different times of the semester would be a very interesting empirical question to study, though

Also, on a slightly unrelated note, I found the definition of ""well"" and ""poorly"" to be a bit ambiguous in the survey. When I answered the questions, I took ""participants performing the task well"" to mean ""participants providing data that is an accurate reflection of their true nature/ability"". However, after reading the second question about caution, I figure that you actually meant ""participants having high task ability"" (i.e., high drift rate in terms of response time models). Therefore, you may wish to exclude my answers based on this"
2018-06-11 01:55:24,2018-06-11 01:59:15,IP Address,*******,100,230,True,2018-06-11 01:59:15,R_1et7GvH0rZ8T3Lr,*******,*******,*******,*******,*******,*******,anonymous,EN,,29,Male,,Graduate Student,,"Attention, mathematical modeling, memory",Somewhat Well,Well,Somewhat Well,Somewhat Well,Well,Well,Somewhat Low Caution,Somewhat High Caution,Moderate Caution,Somewhat Low Caution,Moderate Caution,Moderate Caution,"I believe the experimenter must spend more time and be more careful in encouraging participants to focus and perform well, depending on the time of day and time of semester. However, given sufficient encouragement, performance should be comparable."
2018-06-11 14:57:14,2018-06-11 14:59:57,IP Address,*******,100,163,True,2018-06-11 14:59:58,R_3NWevQ6cARiA7aS,*******,*******,*******,*******,*******,*******,anonymous,EN,,25,Female,,Graduate Student,,"judgment and decision-making, forensic evidence, communication ",Well,Well,Well,Well,Well,Well,Moderate Caution,Moderate Caution,Moderate Caution,Moderate Caution,Moderate Caution,Moderate Caution,"No I don’t, but I don’t have any experience with MTurk yet."
2018-06-11 16:13:53,2018-06-11 16:17:32,IP Address,*******,100,218,True,2018-06-11 16:17:33,R_3Enfbk960OAnbNm,*******,*******,*******,*******,*******,*******,anonymous,EN,,25,Male,,Graduate Student,,"Cognitive control, inhibition",Moderately,Somewhat Well,Somewhat Poorly,Poorly,Somewhat Well,Somewhat Poorly,Low Caution,Moderate Caution,Somewhat Low Caution,Extremely Low Caution,Moderate Caution,Somewhat Low Caution,"Yes. Start of semester students are usually organised enough to gather their course credit and would likely have a different pattern of behaviour to those ""forgetting"" until the last minute. Likewise end of semester time is more precious and students may feel the need to put in as little effort to get out ASAP. "
2018-06-11 21:23:15,2018-06-11 21:32:46,IP Address,*******,100,571,True,2018-06-11 21:32:47,R_ULKFzXxtdinl7B7,*******,*******,*******,*******,*******,*******,anonymous,EN,,26,Male,,Graduate Student,,Concepts Language,Well,Well,Well,Well,Well,Well,Moderate Caution,Moderate Caution,Somewhat High Caution,Somewhat Low Caution,Moderate Caution,Somewhat High Caution,"Yes for population, not really for time of semester. Undergrads forced into it are often more variable (although that could also just be due to individual variability—I get more diverse samples this way) and MTurkers that do well-paid studies really care about rejections so they have high accuracy (and might cheat but will tell you if they did if you ask post-test)"
